"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"STEELXIND","INE503B01013","STEEL EXCHANGE INDIA LIMITED","20-Jul-2017","10","10","1","-"
"DYNPRO","INE256H01015","Dynemic Products Limited","19-Jul-2017","10","10","1","-"
"AUBANK","INE949L01017","AU Small Finance Bank Limited","10-Jul-2017","10","10","1","-"
"GTPL","INE869I01013","GTPL Hathway Limited","04-Jul-2017","10","10","1","-"
"CDSL","INE736A01011","Central Depository Services (India) Limited","30-Jun-2017","10","10","1","-"
"ERIS","INE406M01024","Eris Lifesciences Limited","29-Jun-2017","1","1","1","-"
"TEJASNET","INE010J01012","Tejas Networks Limited","27-Jun-2017","10","10","1","-"
"STARCEMENT","INE460H01021","Star Cement Limited","16-Jun-2017","1","1","1","-"
"PSPPROJECT","INE488V01015","PSP Projects Limited","29-May-2017","10","10","1","-"
"HUDCO","INE031A01017","Housing & Urban Development Corporation Limited","19-May-2017","10","10","1","-"
"BHAGYANGR","INE458B01036","Bhagyanagar India Limited","17-May-2017","2","2","1","-"
"SCHAND","INE807K01035","S Chand And Company Limited","09-May-2017","5","5","1","-"
"DOLLAR","INE325C01035","Dollar Industries Limited","21-Apr-2017","2","2","1","-"
"WIPL","INE215F01023","The Western India Plywoods Limited","17-Apr-2017","10","10","1","-"
"APCL","INE071F01012","Anjani Portland Cement Limited","10-Apr-2017","10","10","1","-"
"PODDARHOUS","INE888B01018","Poddar Housing and Development Limited","10-Apr-2017","10","10","1","-"
"NACLIND","INE295D01020","NACL Industries Limited","07-Apr-2017","1","1","1","-"
"SHANKARA","INE274V01019","Shankara Building Products Limited","05-Apr-2017","10","10","1","-"
"NRAIL","INE740D01017","N R Agarwal Industries Limited","05-Apr-2017","10","10","1","-"
"CLEDUCATE","INE201M01011","CL Educate Limited","31-Mar-2017","10","10","1","-"
"AKSHARCHEM","INE542B01011","AksharChem India Limited","28-Mar-2017","10","10","1","-"
"ARIHANTSUP","INE643K01018","Arihant Superstructures Limited","28-Mar-2017","10","10","1","-"
"URJA","INE550C01020","Urja Global Limited","28-Mar-2017","1","1","1","-"
"TASTYBITE","INE488B01017","Tasty Bite Eatables Limited","23-Mar-2017","10","10","1","-"
"INTENTECH","INE781A01025","Intense Technologies Limited","23-Mar-2017","2","2","1","-"
"DMART","INE192R01011","Avenue Supermarts Limited","21-Mar-2017","10","10","1","-"
"RADIOCITY","INE919I01024","Music Broadcast Limited","17-Mar-2017","2","2","1","-"
"JITFINFRA","INE863T01013","JITF Infralogistics Limited","27-Feb-2017","2","2","1","-"
"KALYANI","INE610E01010","Kalyani Commercials Limited","13-Feb-2017","10","10","1","-"
"PRICOLLTD","INE726V01018","Pricol Limited","10-Feb-2017","1","1","1","-"
"BSE","INE118H01025","BSE Limited","03-Feb-2017","2","2","1","-"
"BHANDARI","INE474E01029","Bhandari Hosiery Exports Limited","30-Jan-2017","1","1","1","-"
"CAPTRUST","INE707C01018","Capital Trust Limited","16-Jan-2017","10","10","1","-"
"HISARMETAL","INE598C01011","Hisar Metal Industries Limited","05-Jan-2017","10","10","1","-"
"ITDC","INE353K01014","India Tourism Development Corporation Limited","30-Dec-2016","10","10","1","-"
"DFMFOODS","INE456C01020","DFM Foods Limited","29-Dec-2016","2","2","1","-"
"TERASOFT","INE482B01010","Tera Software Limited","29-Dec-2016","10","10","1","-"
"LAURUSLABS","INE947Q01028","Laurus Labs Limited","19-Dec-2016","2","2","1","-"
"TCIEXP","INE586V01016","TCI Express Limited","15-Dec-2016","2","2","1","-"
"TMRVL","INE759V01019","The Mandhana Retail Ventures Limited","14-Dec-2016","10","10","1","-"
"SFL","INE916U01025","Sheela Foam Limited","09-Dec-2016","5","5","1","-"
"CMICABLES","INE981B01011","CMI Limited","29-Nov-2016","10","10","1","-"
"KIOCL","INE880L01014","KIOCL Limited","29-Nov-2016","10","10","1","-"
"NBIFIN","INE365I01020","N. B. I. Industrial Finance Company Limited","23-Nov-2016","5","5","1","-"
"PODDARMENT","INE371C01013","Poddar Pigments Limited","22-Nov-2016","10","10","1","-"
"ROLLT","INE927A01040","Rollatainers Limited","22-Nov-2016","1","1","1","-"
"SANCO","INE782L01012","Sanco Industries Limited","22-Nov-2016","10","10","1","-"
"KINGFA","INE473D01015","Kingfa Science & Technology (India) Limited","15-Nov-2016","10","10","1","-"
"VBL","INE200M01013","Varun Beverages Limited","08-Nov-2016","10","10","1","-"
"PNBHOUSING","INE572E01012","PNB Housing Finance Limited","07-Nov-2016","10","10","1","-"
"MAZDA","INE885E01034","Mazda Limited","01-Nov-2016","10","10","1","-"
"NIRAJISPAT","INE326T01011","Niraj Ispat Industries Limited","27-Oct-2016","10","10","1","-"
"ENDURANCE","INE913H01037","Endurance Technologies Limited","19-Oct-2016","10","10","1","-"
"MASKINVEST","INE885F01015","Mask Investments Limited","14-Oct-2016","10","10","1","-"
"HPL","INE495S01016","HPL Electric & Power Limited","04-Oct-2016","10","10","1","-"
"MARATHON","INE182D01020","Marathon Nextgen Realty Limited","29-Sep-2016","5","5","1","-"
"ICICIPRULI","INE726G01019","ICICI Prudential Life Insurance Company Limited","29-Sep-2016","10","10","1","-"
"GNA","INE934S01014","GNA Axles Limited","26-Sep-2016","10","10","1","-"
"LTTS","INE010V01017","L&T Technology Services Limited","23-Sep-2016","2","2","1","-"
"CUPID","INE509F01011","Cupid Limited","16-Sep-2016","10","10","1","-"
"TVVISION","INE871L01013","TV Vision Limited","15-Sep-2016","10","10","1","-"
"SABEVENTS","INE860T01019","Sab Events & Governance Now Media Limited","15-Sep-2016","10","10","1","-"
"BIGBLOC","INE412U01017","Bigbloc Construction Limited","02-Sep-2016","10","10","1","-"
"RBLBANK","INE976G01028","RBL Bank Limited","31-Aug-2016","10","10","1","-"
"FRETAIL","INE752P01024","Future Retail Limited","29-Aug-2016","2","2","1","-"
"NDGL","INE756C01015","Naga Dhunseri Group Limited","29-Aug-2016","10","10","1","-"
"SPAL","INE212I01016","S. P. Apparels Limited","12-Aug-2016","10","10","1","-"
"DBL","INE917M01012","Dilip Buildcon Limited","11-Aug-2016","10","10","1","-"
"MINDTECK","INE110B01017","Mindteck (India) Limited","02-Aug-2016","10","10","1","-"
"ADVENZYMES","INE837H01020","Advanced Enzyme Technologies Limited","01-Aug-2016","2","2","1","-"
"LTI","INE214T01019","Larsen & Toubro Infotech Limited","21-Jul-2016","1","1","1","-"
"LSIL","INE093R01011","Lloyds Steels Industries Limited","18-Jul-2016","1","1","1","-"
"SOMICONVEY","INE323J01019","Somi Conveyor Beltings Limited","18-Jul-2016","10","10","1","-"
