Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,T ,1.00,INE306A01021,Sugar,Equity,
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Cars & Utility Vehicles,Equity,
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Finance (including NBFCs),Equity,
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Sugar,Equity,
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Auto Parts & Equipment,Equity,
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity,
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Sugar,Equity,
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity,
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Footwear,Equity,
500048,BEML Ltd,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Commercial Vehicles,Equity,
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity,
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity,
500055,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2.00,INE824B01021,Iron & Steel/Interm.Products,Equity,
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Iron & Steel/Interm.Products,Equity,
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Electronics,Equity,
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Industrial Machinery,Equity,
500069,BNK Capital Markets Ltd.,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,XT,10.00,INE418C01012,Other Financial Services,Equity,
500074,"BPL Ltd.,",BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity,
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Specialty Chemicals,Equity,
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Aluminium,Equity,
500084,"CESC Limited,",CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity,
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts & Equipment,Equity,
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity,
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity,
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,T ,2.00,INE067A01029,Heavy Electrical Equipment,Equity,
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity,
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity,
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,2.00,INE294A01037,Paper & Paper Products,Equity,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity,
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity,
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.00,INE153A01019,Telecom Services,Equity,
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Refineries/ Petro-Products,Equity,
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.00,INE013A01015,Finance (including NBFCs),Equity,
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Banks,Equity,
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron & Steel/Interm.Products,Equity,
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels & Accessories,Equity,
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity,
500117,"DCW Ltd.,",DCW,DCW LTD.,Active,B ,2.00,INE500A01029,Petrochemicals,Equity,
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Sugar,Equity,
500120,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,10.00,INE591D01014,Specialty Chemicals,Equity,
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A ,10.00,INE280B01018,Commodity Chemicals,Equity,
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity,
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Pharmaceuticals,Equity,
500128,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Construction & Engineering,Equity,
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Other Industrial Goods,Equity,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Containers & Packaging,Equity,
500136,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.00,INE778B01029,Containers & Packaging,Equity,
500143,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Active,X ,10.00,INE160F01013,Comm.Trading  & Distribution,Equity,
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Other Elect.Equip./ Prod.,Equity,
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,X ,10.00,INE515A01019,Industrial Machinery,Equity,
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,A ,10.00,INE516A01017,Containers & Packaging,Equity,
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.00,INE519A01011,Commodity Chemicals,Equity,
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,T ,10.00,INE973A01010,Cigarettes-Tobacco Products,Equity,
500153,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,Active,X ,1.00,INE388A01029,Commodity Chemicals,Equity,
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,X ,10.00,INE085D01033,Paper & Paper Products,Equity,
500160,GTL Ltd,GTL,GTL LTD.,Active,B ,10.00,INE043A01012,Other Telecom Services,Equity,
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Cigarettes-Tobacco Products,Equity,
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity,
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Furniture-Furnishing-Paints,Equity,
500166,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,Active,X ,10.00,INE300A01016,Tea & Coffee,Equity,
500168,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Active,A ,10.00,INE533A01012,Auto Tyres & Rubber Products,Equity,
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Active,X ,10.00,INE537A01013,Textiles,Equity,
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Commodity Chemicals,Equity,
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,A ,1.00,INE538A01037,Industrial Gases,Equity,
500174,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,Active,B ,10.00,INE540A01017,Finance (including NBFCs),Equity,
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B ,2.00,INE236A01020,Computer Hardware,Equity,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Banks,Equity,
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity,
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,T ,1.00,INE548A01028,Telecom Cables,Equity,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Specialty Chemicals,Equity,
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Construction & Engineering,Equity,
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.00,INE345A01011,Exploration & Production,Equity,
500187,HSIL Limited,HSIL,HSIL LTD.,Active,B ,2.00,INE415A01038,Containers & Packaging,Equity,
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity,
500189,NXTDIGITAL LIMITED ,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10.00,INE353A01023,Broadcasting & Cable TV,Equity,
500191,HMT Limited,HMT,HMT LTD.,Active,Z ,10.00,INE262A01018,Commercial Vehicles,Equity,
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.00,INE962B01011,Textiles,Equity,
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B ,2.00,INE102A01024,Hotels,Equity,
500199,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Active,B ,10.00,INE204A01010,Commodity Chemicals,Equity,
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A ,10.00,INE560A01015,Commodity Chemicals,Equity,
500202,"India Lease Devl. Ltd.,",INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,X ,10.00,INE333C01013,Finance (including NBFCs),Equity,
500206,Margo Finance Limited,MARGOFIN,Margo Finance Limited,Active,X ,10.00,INE680B01019,Finance (including NBFCs),Equity,
500207,"Indo Rama Synthetics (India) Ltd.,",INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,T ,10.00,INE156A01020,Textiles,Equity,
500209,Infosys Ltd,INFY*,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.00,INE177A01018,Industrial Machinery,Equity,
500211,Insilco Ltd,INSILCO,INSILCO LTD.,Active,XT,10.00,INE901A01011,Other Industrial Goods,Equity,
500212,Integrated Financial Services Ltd.,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,XT,10.00,INE898B01017,Finance (including NBFCs),Equity,
500213,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,XT,10.00,INE262B01016,Travel Support Services,Equity,
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A ,10.00,INE570A01014,Industrial Machinery,Equity,
500215,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Active,A ,10.00,INE209A01019,Other Agricultural Products,Equity,
500219,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity,
500220,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,Active,X ,10.00,INE711C01010,Textiles,Equity,
500223,JCT Ltd,JCTLTD,JCT LTD.,Active,X ,2.50,INE945A01026,Textiles,Equity,
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A ,10.00,INE197D01010,Containers & Packaging,Equity,
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Iron & Steel/Interm.Products,Equity,
500231,Umang Dairies Limited,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.00,INE864B01027,Packaged Foods,Equity,
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Furniture-Furnishing-Paints,Equity,
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B ,10.00,INE437B01014,Cement & Cement Products,Equity,
500235,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Active,A ,5.00,INE907A01026,Iron & Steel/Interm.Products,Equity,
500236,Kanel Industries Limited,KANELIND,Kanel Industries Limited,Active,XT,10.00,INE252C01015,Comm.Trading  & Distribution,Equity,
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Consumer Electronics,Equity,
500239,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,Active,XT,10.00,INE104A01012,Textiles,Equity,
500240,"Kinetic Engineering Ltd.,",KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.00,INE266B01017,2/3 Wheelers,Equity,
500241,"Kirloskar Brothers Ltd.,",KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,T ,2.00,INE732A01036,Industrial Machinery,Equity,
500243,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Industrial Machinery,Equity,
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,B ,5.00,INE884B01025,Iron & Steel/Interm.Products,Equity,
500246,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,X ,10.00,INE601C01013,Industrial Machinery,Equity,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity,
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Active,X ,10.00,INE073A01019,Plastic Products,Equity,
500249,KSB LIMITED,KSB,KSB Ltd,Active,A ,10.00,INE999A01015,Industrial Machinery,Equity,
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A ,10.00,INE337A01034,Auto Parts & Equipment,Equity,
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Specialty Retail,Equity,
500252,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity,
500257,Lupin Ltd,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity,
500259,"Lyka Labs Ltd.,",LYKALABS,LYKA LABS LTD.,Active,T ,10.00,INE933A01014,Pharmaceuticals,Equity,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Cement & Cement Products,Equity,
500264,"Mafatlal Industries Ltd.,",MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,X ,10.00,INE270B01027,Textiles,Equity,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A ,5.00,INE271B01025,Iron & Steel Products,Equity,
500266,"Maharashtra Scooters Ltd.,",MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,A ,10.00,INE288A01013,Investment Companies,Equity,
500267,"Majestic Auto Ltd.,",MAJESAUT,MAJESTIC AUTO LTD.-$,Active,X ,10.00,INE201B01022,2/3 Wheelers,Equity,
500268,"Manali Petrochemicals Ltd.,",MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,T ,5.00,INE201A01024,Petrochemicals,Equity,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Life Insurance,Equity,
500274,Mesco Pharmaceuticals Ltd.,MESPHAR-B,MESCO PHARMACEUTICALS LTD.,Active,P ,10.00,INE839X01015,Pharmaceuticals,Equity,
500279,Mirc Electronics Ltd,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,B ,1.00,INE831A01028,Consumer Electronics,Equity,
500280,"Century Enka Ltd.,",CENTENKA,CENTURY ENKA LTD.,Active,B ,10.00,INE485A01015,Textiles,Equity,
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,X ,10.00,INE846D01012,Commodity Chemicals,Equity,
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Active,A ,10.00,INE285B01017,Airlines,Equity,
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,A ,2.00,INE083A01026,Pharmaceuticals,Equity,
500290,"M.R.F. Ltd.,",MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Auto Tyres & Rubber Products,Equity,
500292,HeidelbergCement  India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,A ,10.00,INE578A01017,Cement & Cement Products,Equity,
500294,NCC Limited,NCC,NCC Limited,Active,A ,2.00,INE868B01028,Construction & Engineering,Equity,
500295,Vedanta Limited,VEDL,Vedanta Limited,Active,A ,1.00,INE205A01025,Aluminium,Equity,
500296,"Nahar Spinning Mills Ltd.,",NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,T ,5.00,INE290A01027,Textiles,Equity,
500298,National Peroxide Ltd.,NATPEROX,NATIONAL PEROXIDE LTD.,Active,A ,10.00,INE585A01020,Commodity Chemicals,Equity,
500300,"Grasim Industries Ltd.,",GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.00,INE047A01021,Cement & Cement Products,Equity,
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Other Financial Services,Equity,
500304,"NIIT Ltd.,",NIITLTD,NIIT LTD.,Active,A ,2.00,INE161A01038,IT Training Services,Equity,
500306,Jaykay Enterprises Limited,JAYKAY,JAYKAY ENTERPRISES LTD.,Active,X ,1.00,INE903A01025,Finance (including NBFCs),Equity,
500307,"Nirlon Limited,",NIRLON,NIRLON LTD.,Active,A ,10.00,INE910A01012,Misc.Commercial Services,Equity,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Exploration & Production,Equity,
500313,Oil Country Tubular Ltd.,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,T ,10.00,INE591A01010,Oil Equipment & Services,Equity,
500314,"Oriental Hotels Ltd.,",ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.00,INE750A01020,Hotels,Equity,
500317,"Oswal Agro Mills Ltd.,",OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,B ,10.00,INE142A01012,Investment Companies,Equity,
500319,Indian Sucrose Ltd.,INDSUCR,INDIAN SUCROSE LTD.,Active,X ,10.00,INE557C01017,Sugar,Equity,
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Integrated Oil & Gas,Equity,
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1.00,INE600A01035,Plastic Products,Equity,
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,A ,10.00,INE301A01014,Textiles,Equity,
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity,
500333,"Pix Transmissions Ltd.,",PIXTRANS,PIX TRANSMISSIONS LTD.,Active,X ,10.00,INE751B01018,Auto Tyres & Rubber Products,Equity,
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A ,10.00,INE340A01012,Cement & Cement Products,Equity,
500336,"Surya Roshni Ltd.,",SURYAROSNI,SURYA ROSHNI LTD.,Active,A ,10.00,INE335A01012,Diversified,Equity,
500337,Prime Securities Ltd.,PRIMESECU,PRIME SECURITIES LTD.,Active,B ,5.00,INE032B01021,Other Financial Services,Equity,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10.00,INE010A01011,Cement & Cement Products,Equity,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2.00,INE855B01025,Petrochemicals,Equity,
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,Active,B ,2.00,INE606A01024,Realty,Equity,
500346,Punjab Communications Limited,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Active,T ,10.00,INE609A01010,Telecom Equipment,Equity,
500350,RSWM Limited,RSWM,RSWM LTD.,Active,B ,10.00,INE611A01016,Textiles,Equity,
500354,"Rajshree Sugars & Chemicals Ltd.,",RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,Active,T ,10.00,INE562B01019,Sugar,Equity,
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,A ,1.00,INE613A01020,Agrochemicals,Equity,
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.00,INE278B01020,Paper & Paper Products,Equity,
500357,"Rama Paper Mills Limited,",RAMAPPR-B,RAMA PAPER MILLS LTD.,Active,XT,10.00,INE425E01013,Paper & Paper Products,Equity,
500358,Rama Petrochemicals Ltd,RAMAPETRO,RAMA PETROCHEMICALS LTD.,Active,XT,10.00,INE783A01013,Finance (including NBFCs),Equity,
500360,"Rapicut Carbides Ltd.,",RAPICUT,RAPICUT CARBIDES LTD.,Active,XT,10.00,INE350D01015,Industrial Machinery,Equity,
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,X ,6.00,INE731F01037,Iron & Steel/Interm.Products,Equity,
500366,"Rolta India Ltd.,",ROLTA,ROLTA INDIA LTD.,Active,B ,10.00,INE293A01013,Internet Software & Services,Equity,
500367,Rubfila International Ltd.,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,X ,5.00,INE642C01025,Auto Tyres & Rubber Products,Equity,
500368,Ruchi Soya Industries ltd.,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,B ,2.00,INE619A01035,Edible Oils,Equity,
500370,Salora International Limited,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,XT,10.00,INE924A01013,Comm.Trading  & Distribution,Equity,
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,Active,A ,2.00,INE324A01024,Construction & Engineering,Equity,
